case_id,case_context_de,question_a_de,question_b_de,review_unit_hash,preferred_next_action,relevant_to_case,critical_gate_skipped,asks_documented_information,answerable_or_handles_unknown,rationale
RWDR-SHADOW-001,"Dokumentierter CaseState: Dichtungstyp=rwdr; Medium=Hydrauliköl HLP 46; Betriebstemperatur=80 °C; Druckregime=0,2 bar Differenzdruck; Wellendurchmesser=50 mm; Drehzahl=1500 U/min.",Welches konkrete Medium liegt an?,"Welches Ziel hat der Fall: Neuauslegung, Austausch oder Retrofit, Optimierung einer bestehenden Lösung oder Analyse eines konkreten Schadensbilds?",e4605592e03ffc6a4c22b66409fab3f5182f26767e12ae087dfa259f42852db8,B,B,A,A,both,"Das Medium (Hydrauliköl HLP 46) ist im CaseState bereits eindeutig dokumentiert. Frage A fragt somit redundante Daten ab. Frage B klärt das noch offene, für die Auslegung/Auswahl kritische Anwendungsziel. Beide Fragen sind für den Anwender klar beantwortbar."
RWDR-SHADOW-002,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Medium=Getriebeöl CLP 220; Betriebstemperatur=95 °C; Druckregime=weitgehend drucklos; Wellendurchmesser=80 mm; Drehzahl=900 U/min.,Welches konkrete Medium liegt an?,"Welches Ziel hat der Fall: Neuauslegung, Austausch oder Retrofit, Optimierung einer bestehenden Lösung oder Analyse eines konkreten Schadensbilds?",ae12e489f9dfea0876798cccb6e3e145af72255d1f16878115d1c0f4a20af45e,B,B,A,A,both,"Das Getriebeöl CLP 220 ist bereits bekannt. Frage A ist redundant. Frage B ist hochrelevant, da die Definition des Projektziels (z. B. Optimierung oder Schadensanalyse) den weiteren Auslegungspfad bestimmt. Beide Fragen sind prinzipiell beantwortbar."
RWDR-SHADOW-003,"Dokumentierter CaseState: Dichtungstyp=RWDR; Medium=Wasser-Glykol HFC; Betriebstemperatur=60 °C; Druckregime=1,0 bar Differenzdruck; Wellendurchmesser=45 mm; Drehzahl=3000 U/min.","Welches Ziel hat der Fall: Neuauslegung, Austausch oder Retrofit, Optimierung einer bestehenden Lösung oder Analyse eines konkreten Schadensbilds?",Welches konkrete Medium liegt an?,1631e04b40b2d79db71a178aa8f664b28d7419b546f2543f49392d4559679dcb,A,A,B,B,both,Wasser-Glykol HFC ist als Medium bereits spezifiziert. Frage B ist redundant. Frage A klärt das zwingend erforderliche Projektziel auf. Beide Fragen sind für den Anwender klar auflösbar und beantwortbar.
RWDR-SHADOW-004,"Dokumentierter CaseState: Dichtungstyp=Simmerring; Medium=synthetisches Esteröl ISO VG 46; Betriebstemperatur=110 °C; Druckregime=0,5 bar Differenzdruck; Wellendurchmesser=35 mm; Drehzahl=1800 U/min.","Welches Ziel hat der Fall: Neuauslegung, Austausch oder Retrofit, Optimierung einer bestehenden Lösung oder Analyse eines konkreten Schadensbilds?",Welches konkrete Medium liegt an?,ca00f58b55b65d03d21ef9e4f7a061a339075e6176d9120ef9b8b1e70214a22c,A,A,B,B,both,Das synthetische Esteröl ist im CaseState definiert. Frage B fragt dies erneut ab. Frage A schließt die kritische Lücke bezüglich des Projektziels. Unabhängig von der Redundanz sind beide Fragestellungen beantwortbar.
RWDR-SHADOW-005,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Medium=Schmierfett NLGI 2; Betriebstemperatur=70 °C; Druckregime=druckloser Betrieb; Wellendurchmesser=120 mm; Drehzahl=450 U/min.,"Welches Ziel hat der Fall: Neuauslegung, Austausch oder Retrofit, Optimierung einer bestehenden Lösung oder Analyse eines konkreten Schadensbilds?",Welches konkrete Medium liegt an?,62fafb9f5199a6d96df845c8d394f8c150148cae693ab05ddf0b8dbff95c28e7,A,A,B,B,both,Das Schmierfett NLGI 2 ist bereits als Medium dokumentiert. Frage B ist redundant. Frage A ist notwendig zur Ermittlung des anwendungsspezifischen Ziels. Beide Fragen können vom kompetenten Anwender beantwortet werden.
RWDR-SHADOW-006,"Dokumentierter CaseState: Dichtungstyp=rwdr; Anwendungsziel=Neuauslegung; Betriebstemperatur=80 °C; Druckregime=0,2 bar Differenzdruck; Wellendurchmesser=50 mm; Drehzahl=1500 U/min.","Welches konkrete Medium liegt an der Dichtkante an, einschließlich Produktbezeichnung, Additiven und möglicher Verunreinigungen?",Welche Betriebstemperatur liegt vor?,99daabc023c52eeeb67f41f42985f2c774b179f722a6fecde8a4676945507fca,A,A,B,B,both,"Die Betriebstemperatur von 80 °C ist bereits definiert. Frage B ist damit redundant. Frage A schließt das kritische Gate der Medienkompatibilität, da bisher kein Medium angegeben ist. Beide Optionen sind beantwortbar."
RWDR-SHADOW-007,Dokumentierter CaseState: Dichtungstyp=Radialwellendichtring; Anwendungsziel=Austausch einer bestehenden Dichtung; Betriebstemperatur=95 °C; Druckregime=weitgehend drucklos; Wellendurchmesser=80 mm; Drehzahl=900 U/min.,"Welches konkrete Medium liegt an der Dichtkante an, einschließlich Produktbezeichnung, Additiven und möglicher Verunreinigungen?",Welche Betriebstemperatur liegt vor?,904c69a7d42a698ce6b082958b3e9e74bd5788297bb7a61f91266ab48e08fce9,A,A,B,B,both,Die Temperatur (95 °C) ist dokumentiert. Frage B stellt eine unzulässige Doppelabfrage dar. Frage A ist für die Werkstoffauswahl bezüglich Medienresistenz essenziell. Dennoch sind beide Fragen für den Anwender beantwortbar.
RWDR-SHADOW-008,"Dokumentierter CaseState: Dichtungstyp=RWDR; Anwendungsziel=Analyse eines Leckageschadens; Betriebstemperatur=60 °C; Druckregime=1,0 bar Differenzdruck; Wellendurchmesser=45 mm; Drehzahl=3000 U/min.",Welche Betriebstemperatur liegt vor?,"Welches konkrete Medium liegt an der Dichtkante an, einschließlich Produktbezeichnung, Additiven und möglicher Verunreinigungen?",cd04ed63f5eebbb1333a97a5cbb8d1fb6522b9afd097595fa4c1ac8b8c55780b,B,B,A,A,both,Die Temperatur von 60 °C liegt bereits vor. Frage A ist redundant. Das Medium fehlt völlig und ist zur Schadensanalyse und chemischen Beständigkeitsprüfung (Frage B) unabdingbar. Beantwortbar sind beide Fragen.
RWDR-SHADOW-009,"Dokumentierter CaseState: Dichtungstyp=Simmerring; Anwendungsziel=Retrofit in vorhandenem Einbauraum; Betriebstemperatur=110 °C; Druckregime=0,5 bar Differenzdruck; Wellendurchmesser=35 mm; Drehzahl=1800 U/min.",Welche Betriebstemperatur liegt vor?,"Welches konkrete Medium liegt an der Dichtkante an, einschließlich Produktbezeichnung, Additiven und möglicher Verunreinigungen?",61976eff61b0169e2de9b34b321c39736af961dc9d89888f6be77f15937b9387,B,B,A,A,both,"Die Temperatur (110 °C) ist bekannt. Frage A ist redundant. Frage B ist der einzig sinnvolle nächste Schritt, da ohne Medium keine Werkstoffauswahl erfolgen kann. Beide Fragen sind für den Anwender klar beantwortbar."
RWDR-SHADOW-010,Dokumentierter CaseState: Dichtungstyp=Wellendichtung; Anwendungsziel=Lebensdaueroptimierung; Betriebstemperatur=70 °C; Druckregime=druckloser Betrieb; Wellendurchmesser=120 mm; Drehzahl=450 U/min.,Welche Betriebstemperatur liegt vor?,"Welches konkrete Medium liegt an der Dichtkante an, einschließlich Produktbezeichnung, Additiven und möglicher Verunreinigungen?",0807e048a15f791a0e8c14f5b0e3e4da12ac1e9ca7b1ae535d215140eb73178c,B,B,A,A,both,"Die Temperatur ist mit 70 °C definiert, was Frage A obsolet macht. Das Schmier- oder Umgebungsmedium (Frage B) ist zur Ermittlung des Verschleißverhaltens zwingend zu klären. Technisch beantwortbar sind beide Fragen."
